Hotel,Is_Canceled,Lead_Time,Arrival_Date_Year,Arrival_Date_Month,Arrival_Date_Week_Number,Arrival_Date_Day_of_Month,Stays_in_Weekend_Nights,Stays_in_Week_Nights,Adults,Children,Babies,Meal,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings_not_Canceled,Reserved_Room_Type,Assigned_Room_Type,Booking_Changes,Deposit_Type,Agent,Company,Days_in_Waiting_List,Customer_Type,ADR,Is Outlier?,Reservation_Status,Required_Car_Parking_Spaces,Total_of_Special_Requests,Reservation_Status_Date
Resort Hotel,0,20,2016,January,1,1,0,2,2,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,57.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,7,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,26,2016,January,1,2,0,1,2,0,1,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,250,NULL,0,Transient,65.00,Non Outlier,Check-Out,1,2,2016-01-03
Resort Hotel,0,16,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,62.00,Non Outlier,Check-Out,1,2,2016-01-03
Resort Hotel,0,4,2016,January,1,2,0,1,2,1,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,85.00,Non Outlier,Check-Out,0,0,2016-01-03
Resort Hotel,0,5,2016,January,1,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,0,2016,January,1,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient,68.00,Non Outlier,Check-Out,0,0,2016-01-03
Resort Hotel,0,1,2016,January,1,2,0,1,2,0,0,BB,CUB,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,2,2016-01-03
Resort Hotel,0,1,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,2,2016-01-03
Resort Hotel,0,3,2016,January,1,2,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,330,NULL,0,Transient,39.00,Non Outlier,Check-Out,0,0,2016-01-03
Resort Hotel,0,3,2016,January,1,2,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,330,NULL,0,Transient,46.00,Non Outlier,Check-Out,0,0,2016-01-03
Resort Hotel,0,3,2016,January,1,2,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,330,NULL,0,Transient,46.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,26,2016,January,1,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,2,No Deposit,250,NULL,0,Transient,65.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,2,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,66.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,1,0,2016,January,2,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,306,NULL,0,Transient,32.30,Non Outlier,Canceled,0,0,2016-01-03
Resort Hotel,1,3,2016,January,2,4,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,52.80,Non Outlier,Canceled,0,1,2016-01-04
Resort Hotel,1,6,2016,January,2,8,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96.00,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,155,2016,February,6,6,2,2,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,59.40,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,120,2016,February,6,6,4,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,50.40,Non Outlier,Canceled,0,1,2016-01-04
Resort Hotel,1,72,2016,February,8,14,2,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,98.00,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,55,2016,February,8,20,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,58.00,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,73,2016,February,9,26,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Canceled,0,2,2016-01-04
Resort Hotel,1,120,2016,February,9,27,2,6,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,31.59,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,119,2016,February,9,27,2,6,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,35.10,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,1,108,2016,March,13,21,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Canceled,0,1,2016-01-04
Resort Hotel,1,157,2016,June,23,4,2,4,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,105.00,Non Outlier,Canceled,0,0,2016-01-04
Resort Hotel,0,9,2016,January,2,4,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314,NULL,0,Transient,0.00,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,15,2016,January,1,2,1,1,3,0,0,BB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,86.00,Non Outlier,Check-Out,1,0,2016-01-04
Resort Hotel,0,0,2016,January,1,2,1,1,2,0,0,HB,FRA,Direct,Direct,0,0,0,A,F,1,No Deposit,NULL,NULL,0,Transient,68.00,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,0,2016,January,2,3,1,0,2,0,1,BB,ITA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,NULL,0,Group,48.00,Non Outlier,Check-Out,0,2,2016-01-04
Resort Hotel,0,83,2016,January,2,3,1,0,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,56.10,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,0,2016,January,2,4,0,0,2,0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,A,0,No Deposit,240,NULL,0,Transient,0.00,Non Outlier,Check-Out,0,1,2016-01-04
Resort Hotel,0,1,2016,January,2,3,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240,NULL,0,Transient,54.00,Non Outlier,Check-Out,1,2,2016-01-04
Resort Hotel,0,1,2016,January,2,3,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-04
Resort Hotel,0,1,2016,January,1,2,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Group,48.00,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,0,2016,January,2,3,1,0,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Group,43.00,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,1,2016,January,1,2,1,1,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Group,48.00,Non Outlier,Check-Out,0,1,2016-01-04
Resort Hotel,0,8,2016,January,2,3,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-04
Resort Hotel,0,1,2016,January,2,3,1,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,314,NULL,0,Transient,25.00,Non Outlier,Check-Out,0,0,2016-01-04
Resort Hotel,0,0,2016,January,2,3,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-04
Resort Hotel,1,23,2016,January,2,4,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314,NULL,0,Transient,0.00,Non Outlier,No-Show,0,0,2016-01-04
Resort Hotel,1,28,2016,January,2,9,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56.00,Non Outlier,Canceled,0,1,2016-01-04
Resort Hotel,1,157,2016,January,5,29,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,88.20,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,53,2016,February,9,26,2,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,85,2016,March,12,14,3,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,59.40,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,168,2016,April,16,12,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,245,NULL,0,Transient,86.00,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,232,2016,April,16,16,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.20,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,143,2016,April,18,24,2,2,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68,NULL,0,Transient,84.00,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,157,2016,April,18,29,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.20,Non Outlier,Canceled,0,2,2016-01-05
Resort Hotel,1,157,2016,April,18,29,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,79.20,Non Outlier,Canceled,0,2,2016-01-05
Resort Hotel,1,157,2016,April,18,29,4,10,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,44.10,Non Outlier,Canceled,0,2,2016-01-05
Resort Hotel,1,165,2016,May,19,6,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient-Party,65.70,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,209,2016,May,22,24,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48.72,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,145,2016,May,22,28,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,147,NULL,0,Transient-Party,59.30,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,145,2016,May,22,28,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,147,NULL,0,Transient-Party,59.24,Non Outlier,Canceled,0,1,2016-01-05
Resort Hotel,1,256,2016,June,24,5,4,6,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,87.00,Non Outlier,Canceled,0,2,2016-01-05
Resort Hotel,1,185,2016,June,26,19,4,10,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,150.57,Non Outlier,Canceled,0,2,2016-01-05
Resort Hotel,1,234,2016,June,26,25,2,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,145.00,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,273,2016,July,29,11,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85.50,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,0,17,2016,January,1,2,2,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,57.20,Non Outlier,Check-Out,0,1,2016-01-05
Resort Hotel,0,148,2016,January,1,2,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,100.33,Non Outlier,Check-Out,0,3,2016-01-05
Resort Hotel,0,0,2016,January,2,5,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,D,A,0,No Deposit,314,NULL,0,Transient,0.00,Non Outlier,Check-Out,0,0,2016-01-05
Resort Hotel,0,148,2016,January,1,2,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,100.33,Non Outlier,Check-Out,1,3,2016-01-05
Resort Hotel,0,21,2016,January,2,5,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,0.00,Non Outlier,Check-Out,0,1,2016-01-05
Resort Hotel,0,148,2016,January,1,2,2,1,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,100.33,Non Outlier,Check-Out,0,3,2016-01-05
Resort Hotel,0,148,2016,January,1,2,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,106.33,Non Outlier,Check-Out,1,3,2016-01-05
Resort Hotel,0,138,2016,January,1,2,2,1,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,100.33,Non Outlier,Check-Out,0,2,2016-01-05
Resort Hotel,0,2,2016,January,1,1,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,64.25,Non Outlier,Check-Out,0,2,2016-01-05
Resort Hotel,0,5,2016,January,2,4,1,0,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,0,2016-01-05
Resort Hotel,0,23,2016,January,1,2,2,1,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,50.33,Non Outlier,Check-Out,1,0,2016-01-05
Resort Hotel,0,0,2016,January,2,4,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,51.00,Non Outlier,Check-Out,0,0,2016-01-05
Resort Hotel,0,23,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,50.33,Non Outlier,Check-Out,0,1,2016-01-05
Resort Hotel,0,7,2016,January,1,2,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,NULL,0,Transient,94.00,Non Outlier,Check-Out,1,1,2016-01-05
Resort Hotel,0,0,2016,January,2,4,1,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,54.00,Non Outlier,Check-Out,1,0,2016-01-05
Resort Hotel,0,28,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,56.33,Non Outlier,Check-Out,1,1,2016-01-05
Resort Hotel,0,14,2016,January,2,3,2,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,250,NULL,0,Transient,43.00,Non Outlier,Check-Out,0,1,2016-01-05
Resort Hotel,0,0,2016,January,2,3,2,0,2,0,0,BB,COL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Group,50.80,Non Outlier,Check-Out,1,0,2016-01-05
Resort Hotel,0,0,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,242,NULL,0,Transient,66.20,Non Outlier,Check-Out,1,0,2016-01-05
Resort Hotel,0,4,2016,January,1,2,2,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,45.33,Non Outlier,Check-Out,0,2,2016-01-05
Resort Hotel,0,38,2016,January,2,3,2,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,250,NULL,0,Transient,34.00,Non Outlier,Check-Out,1,0,2016-01-05
Resort Hotel,0,0,2016,January,2,4,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,250,NULL,0,Transient,43.00,Non Outlier,Check-Out,0,2,2016-01-05
Resort Hotel,1,19,2016,January,2,8,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,52.80,Non Outlier,Canceled,0,0,2016-01-05
Resort Hotel,1,19,2016,January,2,8,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.80,Non Outlier,Canceled,0,0,2016-01-06
Resort Hotel,1,6,2016,January,3,10,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Canceled,0,1,2016-01-06
Resort Hotel,1,61,2016,March,10,1,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,29.00,Non Outlier,Canceled,0,0,2016-01-06
Resort Hotel,1,82,2016,March,13,22,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,61.67,Non Outlier,Canceled,0,1,2016-01-06
Resort Hotel,1,148,2016,March,14,27,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242,NULL,0,Transient,90.00,Non Outlier,Canceled,0,1,2016-01-06
Resort Hotel,1,209,2016,August,32,1,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,126.00,Non Outlier,Canceled,0,0,2016-01-06
Resort Hotel,1,255,2016,September,38,16,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,NULL,0,Transient,64.98,Non Outlier,Canceled,0,1,2016-01-06
Resort Hotel,0,0,2016,January,2,5,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient,38.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,0,2016,January,2,5,0,1,1,0,0,BB,UKR,Direct,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient,38.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,11,2016,January,2,5,0,1,1,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,54.00,Non Outlier,Check-Out,1,1,2016-01-06
Resort Hotel,0,0,2016,January,2,5,0,1,1,0,0,BB,NOR,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient,38.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,3,2016,January,2,3,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-06
Resort Hotel,0,3,2016,January,2,3,2,1,2,0,0,BB,ZAF,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-06
Resort Hotel,0,0,2016,January,2,5,0,1,1,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,339,NULL,0,Transient,25.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,38,2016,January,2,3,2,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,NULL,0,Transient,26.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,5,2016,January,2,5,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,NULL,159,0,Transient,37.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,1,2016,January,2,4,1,1,2,0,0,BB,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,306,NULL,0,Group,32.30,Non Outlier,Check-Out,0,1,2016-01-06
Resort Hotel,0,38,2016,January,2,5,0,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,16,2016,January,2,3,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,52.80,Non Outlier,Check-Out,0,2,2016-01-06
Resort Hotel,0,24,2016,January,2,3,2,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,NULL,0,Transient,30.00,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,46,2016,January,1,2,2,2,2,0,0,BB,UKR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,77.45,Non Outlier,Check-Out,1,1,2016-01-06
Resort Hotel,0,157,2016,January,2,4,1,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,32.40,Non Outlier,Check-Out,0,2,2016-01-06
Resort Hotel,0,5,2016,January,1,2,2,2,2,0,0,BB,BRA,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,73.25,Non Outlier,Check-Out,0,0,2016-01-06
Resort Hotel,0,11,2016,January,2,3,2,1,2,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient,39.00,Non Outlier,Check-Out,1,1,2016-01-06
Resort Hotel,0,86,2016,January,2,6,0,1,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,79.50,Non Outlier,Check-Out,1,1,2016-01-06
Resort Hotel,1,0,2016,January,2,7,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Canceled,0,2,2016-01-07
Resort Hotel,1,12,2016,January,4,18,1,0,1,0,0,BB,PRT,Complementary,TA/TO,0,0,0,F,F,0,No Deposit,15,NULL,0,Transient,0.00,Non Outlier,Canceled,0,0,2016-01-07
Resort Hotel,1,48,2016,January,5,29,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,55.00,Non Outlier,Canceled,0,0,2016-01-07
Resort Hotel,1,164,2016,June,25,18,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,135.00,Non Outlier,Canceled,0,0,2016-01-07
Resort Hotel,1,281,2016,July,29,16,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,175,NULL,0,Transient,115.92,Non Outlier,Canceled,0,0,2016-01-07
Resort Hotel,0,2,2016,January,2,6,0,1,1,0,0,BB,NULL,Direct,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient,38.00,Non Outlier,Check-Out,0,0,2016-01-07
Resort Hotel,0,6,2016,January,2,5,0,2,1,0,0,BB,NULL,Online TA,TA/TO,0,0,1,A,D,0,No Deposit,240,NULL,0,Transient,39.00,Non Outlier,Check-Out,0,2,2016-01-07
Resort Hotel,0,0,2016,January,2,6,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,5,NULL,0,Transient,30.00,Non Outlier,Check-Out,0,0,2016-01-07
